Temperature,L,R,A_M,Color,Spectral_Class,Type
0.1836000105094453,0.0024,0.17,16.12,3,5,0.0
0.0356270197840309,0.0005,0.1542,16.6,3,5,0.0
0.0173668584640445,0.0003,0.102,18.7,3,5,0.0
0.022621581146055,0.0002,0.16,16.65,3,5,0.0
0.0,0.000138,0.103,20.06,3,5,0.0
0.0236725256824571,0.00065,0.11,16.98,3,5,0.0
0.2995454664880061,0.00073,0.127,17.22,3,5,0.0
0.0173668584640445,0.0004,0.096,17.4,3,5,0.0
0.0186805391345471,0.00069,0.11,17.45,3,5,0.0
0.0199942198050497,0.00018,0.13,16.05,3,5,0.0
0.0436404718740968,0.0029,0.51,10.69,3,5,0.2
0.0312655999579622,0.0122,0.3761,11.79,3,5,0.2
0.0313969680250124,0.0004,0.196,13.21,3,5,0.2
0.0443761330495783,0.0055,0.393,10.48,3,5,0.2
0.0186805391345471,0.0006,0.14,11.782,3,5,0.2
0.0368093323874832,0.0038,0.24,13.07,3,5,0.2
0.0225953075326449,0.0018,0.16,14.79,3,5,0.2
0.0460576443078216,0.00367,0.47,10.8,3,5,0.2
0.0329208376027955,0.00362,0.1967,13.53,3,5,0.2
0.0394629673418985,0.039,0.351,11.18,3,5,0.2
0.0317122513859331,0.056,0.0084,10.58,4,1,0.4
0.1524132313917133,0.00049,0.01234,14.02,4,0,0.4
0.1387509524184861,0.00017,0.011,14.23,4,2,0.4
0.0280864927353458,0.0005,0.01,14.5,0,0,0.4
0.3825700848637713,0.013,0.014,11.89,1,1,0.4
0.2903497017944877,8.5e-05,0.00984,12.23,5,2,0.4
0.0358634823047213,0.00081,0.0097,14.2,3,0,0.4
0.2669661858595412,0.00011,0.0128,14.47,3,2,0.4
0.258821365702425,0.00015,0.011,12.59,5,2,0.4
0.0249599327395496,8e-05,0.013,14.08,0,2,0.4
0.9737263865899478,204000.0,10.6,-4.7,0,6,0.6000000000000001
0.5649089619295342,28840.0,6.3,-4.2,3,1,0.6000000000000001
0.3504111820498673,1136.0,7.2,-1.97,1,1,0.6000000000000001
0.2039095136754158,74.0,2.89,0.16,4,1,0.6000000000000001
0.1014424213762119,0.81,0.9,5.05,5,2,0.6000000000000001
0.1606105987756496,8.7,1.8,2.42,4,0,0.6000000000000001
0.1265862694096319,1.43,1.12,2.41,5,2,0.6000000000000001
0.1166811171540422,1.35,0.98,2.93,5,2,0.6000000000000001
0.105015632799979,1.357,1.106,4.46,5,2,0.6000000000000001
0.0958461417198707,0.819,0.99,5.03,5,2,0.6000000000000001
0.0495783085047686,200000.0,19.0,-6.93,3,5,0.8
0.0374661727227345,340000.0,23.0,-6.2,3,5,0.8
0.0349701794487795,150000.0,88.0,-6.02,3,5,0.8
0.4219805049788497,195000.0,17.0,-7.22,3,5,0.8
0.0280864927353458,280000.0,25.0,-6.0,3,5,0.8
0.1939255405795959,320000.0,29.0,-6.6,3,5,0.8
0.0429836315388455,123000.0,45.0,-6.78,3,5,0.8
0.0429573579254354,200000.0,89.0,-5.24,3,5,0.8
0.0442973122093481,184000.0,84.0,-6.74,3,5,0.8
0.8357899161871732,220000.0,26.0,-6.1,0,1,0.8
0.0407503743989911,270000.0,1520.0,-9.4,3,5,1.0
0.0475815138856047,283000.0,1260.0,-7.63,3,5,1.0
0.049788497412049,272000.0,1183.0,-9.2,3,5,1.0
0.0475552402721946,550000.0,1648.0,-8.05,2,5,1.0
0.0449541525445994,310000.0,1324.0,-7.79,3,5,1.0
0.3993851974462047,263000.0,1349.0,-11.75,3,5,1.0
0.5273902419799795,363000.0,1673.0,-11.92,1,5,1.0
0.039699429862589,174000.0,1284.0,-11.28,3,5,1.0
0.0476340611124248,209000.0,955.0,-11.24,3,5,1.0
0.0419326870024434,195000.0,1546.0,-11.36,3,5,1.0
0.0368356060008933,0.0056,0.057,16.23,3,5,0.0
0.039226504821208,0.00067,0.19,16.94,3,5,0.0
0.0274296524000945,0.00024,0.094,16.09,3,5,0.0
0.0235411576154068,0.00034,0.0918,16.96,3,5,0.0
0.026168518956412,0.00014,0.116,18.89,3,5,0.0
0.0356270197840309,0.00098,0.132,17.13,3,5,0.0
0.0264312550905126,0.00032,0.093,18.34,3,5,0.0
0.2375397388402827,0.00098,0.0911,16.45,3,5,0.0
0.0219384671973936,0.00036,0.118,17.39,3,5,0.0
0.0405927327185307,0.00072,0.12,19.43,1,5,0.0
0.0369407004545335,0.021,0.273,12.3,3,5,0.2
0.0438243871679672,0.022,0.38,10.12,3,5,0.2
0.0358634823047213,0.0085,0.18,13.2,3,5,0.2
0.0318173458395733,0.0088,0.35,11.94,3,5,0.2
0.0423267912035942,0.004,0.291,10.89,3,5,0.2
0.0326055542418749,0.001,0.35,11.76,3,5,0.2
0.0249862063529597,0.0034,0.24,13.46,3,5,0.2
0.0368618796143033,0.0015,0.307,11.87,3,5,0.2
0.0179186043456556,0.0006,0.098,12.81,3,5,0.2
0.0320275347468537,0.00135,0.161,13.98,3,5,0.2
0.1355981188092798,0.00029,0.012,14.09,5,2,0.4
0.2268726517958015,0.00014,0.0092,12.02,4,2,0.4
0.1836788313496755,0.00056,0.0095,13.78,4,0,0.4
0.4009616142508079,0.00098,0.015,12.45,1,1,0.4
0.3195134126796458,0.00067,0.0089,12.17,1,1,0.4
0.0234360631617666,0.00045,0.0109,13.98,1,0,0.4
0.9536007987178478,0.00078,0.0092,12.13,5,1,0.4
0.2375397388402827,0.00074,0.0087,11.19,1,1,0.4
0.3095294395838259,0.00018,0.00892,12.97,4,2,0.4
0.470849425921547,0.0011,0.0131,11.34,0,1,0.4
0.039699429862589,0.59,0.91,5.49,3,2,0.6000000000000001
0.0679698378918052,0.153,0.865,6.506,5,4,0.6000000000000001
0.0561729854706917,0.085,0.795,6.228,5,4,0.6000000000000001
0.079898058379969,0.357,1.13,4.78,5,4,0.6000000000000001
0.049788497412049,45.0,2.63,1.45,3,0,0.6000000000000001
0.3195134126796458,672.0,6.98,-2.3,3,0,0.6000000000000001
0.0833661753500959,0.63,0.876,4.68,2,4,0.6000000000000001
0.1518877591235122,7.92,1.34,2.44,5,2,0.6000000000000001
0.0179186043456556,689.0,7.01,0.02,3,0,0.6000000000000001
0.8977430966080765,198000.0,10.2,-4.4,0,6,0.6000000000000001
0.0249862063529597,240000.0,12.0,-6.5,0,1,0.8
1.0000000000000002,813000.0,14.0,-6.23,0,6,0.8
0.5533485720291111,127000.0,36.0,-5.76,0,6,0.8
0.0337878668453272,235000.0,83.0,-6.89,1,6,0.8
0.2405874779958488,112000.0,12.0,-5.91,0,6,0.8
0.3233230866241034,231000.0,42.0,-6.12,0,6,0.8
0.5961745618874964,363000.0,63.0,-5.83,0,6,0.8
0.2878011612937127,184000.0,36.0,-6.34,0,6,0.8
0.5013268174772076,142000.0,57.0,-6.24,5,6,0.8
0.0336039515514568,352000.0,67.0,-5.79,0,6,0.8
0.0399358923832794,100000.0,1289.0,-10.7,3,5,1.0
0.0437718399411471,126000.0,1124.0,-10.81,3,5,1.0
0.0440345760752476,200000.0,1635.0,-11.33,3,5,1.0
0.0383594755786763,117000.0,1486.0,-10.92,3,5,1.0
0.0439032080081973,132000.0,1522.0,-10.86,3,5,1.0
0.0424056120438243,145000.0,1324.0,-11.03,3,5,1.0
0.0545440214392685,282000.0,1534.0,-11.39,3,4,1.0
0.0442973122093481,74000.0,876.0,-10.25,3,5,1.0
0.1290297154567667,229000.0,1467.0,-10.07,3,3,1.0
0.3095294395838259,200000.0,1324.0,-10.7,3,5,1.0
0.0264312550905126,0.00043,0.0912,17.16,3,5,0.0
0.0418275925488032,0.00093,0.0976,19.94,3,5,0.0
0.0336039515514568,0.00054,0.11,20.02,3,5,0.0
0.0317122513859331,0.00015,0.0932,16.92,3,5,0.0
0.0413021202806022,0.00064,0.109,17.12,3,5,0.0
0.0337878668453272,0.00076,0.121,19.63,3,5,0.0
0.0421166022963138,0.00087,0.0932,16.88,3,5,0.0
0.0242242715640682,0.00019,0.0899,16.71,3,5,0.0
0.0303722971020204,0.000896,0.0782,19.56,1,5,0.0
0.0208087018207614,0.000437,0.0856,18.09,3,5,0.0
0.0303722971020204,0.00019,0.492,10.87,3,5,0.2
0.0438243871679672,0.00023,0.38,10.34,3,5,0.2
0.0305036651690707,0.008,0.31,11.17,3,5,0.2
0.0275872940805549,0.0087,0.34,13.12,3,5,0.2
0.0421166022963138,0.0009,0.62,14.23,3,5,0.2
0.0342607918867081,0.0023,0.73,14.75,3,5,0.2
0.0302672026483802,0.0081,0.24,11.43,3,5,0.2
0.0435879246472767,0.0011,0.56,14.26,3,5,0.2
0.0363889545729224,0.0034,0.34,12.23,3,5,0.2
0.0420903286829037,0.0013,0.256,14.33,3,5,0.2
0.3016473555608103,0.00059,0.00981,13.67,1,1,0.4
0.5013268174772076,0.0015,0.0112,11.52,0,1,0.4
0.4295998528677649,0.0013,0.00934,12.78,0,1,0.4
0.3305483303118678,0.00082,0.00972,11.92,1,1,0.4
0.2617114631775308,0.00067,0.00898,11.38,1,1,0.4
0.1835211896692152,0.00028,0.00879,14.87,1,0,0.4
0.2883003599485037,0.00071,0.00945,12.83,1,1,0.4
0.3361183363547989,0.00011,0.00892,12.89,4,2,0.4
0.4295998528677649,0.00014,0.00878,14.81,3,0,0.4
0.2901920601140275,0.00088,0.00996,11.23,1,1,0.4
0.7257034759990542,188000.0,6.02,-4.01,1,1,0.6000000000000001
0.3993851974462047,38.0,2.487,0.12,1,0,0.6000000000000001
0.0435879246472767,1092.0,5.745,-2.04,0,0,0.6000000000000001
0.3796799873886656,1278.0,5.68,-3.32,1,1,0.6000000000000001
0.6077349517879194,14500.0,5.92,-3.98,1,1,0.6000000000000001
0.7031081684664092,16790.0,6.4,-4.09,1,1,0.6000000000000001
0.6358477181366754,14520.0,5.49,-3.8,1,1,0.6000000000000001
0.4776805654081606,4720.0,6.78,-3.4,1,1,0.6000000000000001
0.2912167310370195,998.0,6.21,-1.38,1,0,0.6000000000000001
0.942198050497885,202900.0,6.86,-4.56,0,6,0.6000000000000001
0.6161425080791362,223000.0,57.0,-5.92,0,6,0.8
0.258821365702425,251000.0,36.0,-6.245,2,6,0.8
0.0442973122093481,452000.0,83.0,-5.62,3,6,0.8
0.1001812879325293,245000.0,97.0,-6.63,0,6,0.8
0.1836000105094453,239000.0,35.0,-7.34,0,6,0.8
0.4577126192165208,131000.0,24.0,-7.22,3,6,0.8
0.4725046635663803,152000.0,73.0,-5.69,0,6,0.8
0.6419694700612175,198000.0,39.0,-5.83,0,6,0.8
0.4057696855048475,342900.0,30.0,-6.09,0,6,0.8
0.1953180420903287,424520.0,24.0,-5.99,0,6,0.8
0.0428522634717952,320000.0,1480.0,-7.58,3,5,1.0
0.0410131105330916,138000.0,1420.0,-8.18,3,5,1.0
0.0616904442868027,630000.0,1315.0,-9.2,2,4,1.0
0.632169412259268,316000.0,1679.0,-9.1,0,1,1.0
0.9737263865899478,240000.0,1190.0,-7.89,3,5,1.0
0.1953180420903287,145000.0,1553.0,-7.71,3,5,1.0
0.4219805049788497,200000.0,1045.0,-8.3,0,6,1.0
0.2380652111084837,170000.0,1779.0,-9.9,1,1,1.0
0.2669661858595412,120000.0,708.9,-7.84,1,1,1.0
0.592496256010089,248490.0,1134.5,-8.24,1,1,1.0
0.0234360631617666,0.000231,0.0915,16.21,3,5,0.0
0.0256167730748009,0.000631,0.116,18.39,3,5,0.0
0.0388849478468773,0.000245,0.126,17.56,3,5,0.0
0.0336039515514568,0.000452,0.0987,17.34,3,5,0.0
0.2617114631775308,0.000621,0.0773,17.08,4,5,0.0
0.0249599327395496,0.000352,0.0973,16.93,3,5,0.0
0.0270355481989438,0.000461,0.119,17.45,3,5,0.0
0.0405927327185307,0.000551,0.0998,16.67,3,5,0.0
0.0220435616510338,0.000849,0.112,19.45,3,5,0.0
0.0416174036415228,0.000957,0.129,16.35,3,5,0.0
0.0400147132235096,0.0053,0.148,11.47,3,5,0.2
0.0346286224744489,0.0024,0.46,10.73,3,5,0.2
0.0320275347468537,0.0072,0.28,13.45,5,5,0.2
0.0334463098709965,0.0016,0.378,12.854,3,5,0.2
0.0416174036415228,0.0054,0.319,12.43,3,5,0.2
0.0435879246472767,0.0027,0.67,13.667,3,5,0.2
0.4219805049788497,0.00132,0.258,14.12,3,5,0.2
0.0409080160794514,0.00125,0.336,14.94,3,5,0.2
0.0363889545729224,0.0065,0.471,12.78,3,5,0.2
0.0400409868369196,0.0027,0.675,14.776,3,5,0.2
0.3901894327526864,0.0014,0.0121,12.87,0,1,0.4
0.7031081684664092,0.00122,0.0114,11.92,1,1,0.4
0.3426867397073119,0.00118,0.0113,12.23,0,1,0.4
0.2995454664880061,0.00109,0.0116,12.9,0,1,0.4
0.4309135335382675,0.00134,0.0124,11.22,0,1,0.4
0.4724258427261502,0.00156,0.0142,11.34,0,1,0.4
0.5801476577073645,0.00159,0.0127,10.55,0,1,0.4
0.1001812879325293,0.00132,0.0104,10.18,0,1,0.4
0.4198786159060456,0.00111,0.0106,11.66,0,1,0.4
0.4577126192165208,0.00125,0.00998,11.62,0,1,0.4
0.3901106119124563,12450.0,6.36,-3.67,0,1,0.6000000000000001
0.2121068810593521,552.0,5.856,0.013,1,0,0.6000000000000001
0.292950789522083,788.0,5.992,-0.12,1,0,0.6000000000000001
0.5273902419799795,6748.0,6.64,-2.55,1,1,0.6000000000000001
0.8473503060875963,198200.0,6.39,-4.57,0,6,0.6000000000000001
0.1524132313917133,173800.0,6.237,-4.36,3,6,0.6000000000000001
0.1939255405795959,29.0,1.91,1.236,1,0,0.6000000000000001
0.4587635637529229,10920.0,6.03,-3.08,1,1,0.6000000000000001
0.3993851974462047,883.0,5.653,-2.64,1,1,0.6000000000000001
0.7031081684664092,9.25,1.93,-0.98,1,2,0.6000000000000001
0.5711620819211266,244290.0,35.0,-6.27,0,6,0.8
0.2840177609626652,332520.0,76.0,-7.02,0,6,0.8
0.1955807782244292,342940.0,98.0,-6.98,0,6,0.8
0.5649089619295342,537430.0,81.0,-5.975,0,6,0.8
0.3901106119124563,246730.0,62.0,-6.35,0,6,0.8
0.4412653372218281,224780.0,46.0,-7.45,0,6,0.8
0.2089540474501458,593900.0,80.0,-7.262,0,6,0.8
0.0186805391345471,783930.0,25.0,-6.224,3,6,0.8
0.5558445653030661,347820.0,86.0,-5.905,0,6,0.8
0.5201912719056252,748890.0,92.0,-7.346,0,6,0.8
0.0329208376027955,382993.0,1494.0,-8.84,3,1,1.0
0.9536007987178478,272830.0,1356.0,-9.29,0,6,1.0
0.8026588896770973,648430.0,1948.5,-10.84,0,6,1.0
0.677859225979349,849420.0,1252.0,-7.59,1,1,1.0
0.022621581146055,748490.0,1130.0,-7.67,3,1,1.0
0.9721499697853444,374830.0,1356.0,-9.93,0,6,1.0
0.7593074275505111,834042.0,1194.0,-10.63,0,6,1.0
0.1810251963952602,537493.0,1423.0,-10.73,4,0,1.0
0.1916922834397414,404940.0,1112.0,-11.23,4,0,1.0
0.9443524867975092,294903.0,1783.0,-7.8,0,6,1.0
